"Ano";"Municipio";"Casos"
"2015";"Angra dos Reis";9032
"2015";"Aperibé";25
"2015";"Araruama";523
"2015";"Areal";487
"2015";"Armação dos Búzios";61
"2015";"Arraial do Cabo";55
"2015";"Barra do Piraí";1818
"2015";"Barra Mansa";1130
"2015";"Belford Roxo";208
"2015";"Bom Jardim";25
"2015";"Bom Jesus do Itabapoana";1177
"2015";"Cabo Frio";199
"2015";"Cachoeiras de Macacu";11
"2015";"Cambuci";8
"2015";"Campos dos Goytacazes";5700
"2015";"Cantagalo";23
"2015";"Carapebus";226
"2015";"Cardoso Moreira";38
"2015";"Carmo";42
"2015";"Casimiro de Abreu";122
"2015";"Conceição de Macabu";75
"2015";"Cordeiro";75
"2015";"Duque de Caxias";487
"2015";"Engenheiro Paulo de Frontin";86
"2015";"Guapimirim";43
"2015";"Iguaba Grande";67
"2015";"Itaboraí";776
"2015";"Itaguaí";906
"2015";"Italva";66
"2015";"Itaocara";28
"2015";"Itaperuna";3079
"2015";"Itatiaia";1493
"2015";"Japeri";175
"2015";"Laje do Muriaé";74
"2015";"Macaé";1206
"2015";"Macuco";18
"2015";"Magé";102
"2015";"Mangaratiba";312
"2015";"Maricá";131
"2015";"Mendes";639
"2015";"Mesquita";91
"2015";"Miguel Pereira";4
"2015";"Miracema";532
"2015";"Natividade";786
"2015";"Nilópolis";132
"2015";"Niterói";911
"2015";"Nova Friburgo";493
"2015";"Nova Iguaçu";1829
"2015";"Paracambi";51
"2015";"Paraíba do Sul";82
"2015";"Paraty";305
"2015";"Paty do Alferes";26
"2015";"Petrópolis";309
"2015";"Pinheiral";230
"2015";"Piraí";1211
"2015";"Porciúncula";188
"2015";"Porto Real";2061
"2015";"Quatis";1507
"2015";"Queimados";43
"2015";"Quissamã";198
"2015";"Resende";12906
"2015";"Rio Bonito";12
"2015";"Rio Claro";207
"2015";"Rio das Flores";9
"2015";"Rio das Ostras";1316
"2015";"Rio de Janeiro";21221
"2015";"Santo Antônio de Pádua";1032
"2015";"São Fidélis";374
"2015";"São Francisco de Itabapoana";355
"2015";"São Gonçalo";3391
"2015";"São João da Barra";47
"2015";"São João de Meriti";586
"2015";"São José de Ubá";181
"2015";"São José do Vale do Rio Preto";869
"2015";"São Pedro da Aldeia";53
"2015";"São Sebastião do Alto";4
"2015";"Sapucaia";180
"2015";"Saquarema";2204
"2015";"Seropédica";210
"2015";"Silva Jardim";14
"2015";"Teresópolis";72
"2015";"Trajano de Moraes";2
"2015";"Três Rios";104
"2015";"Valença";585
"2015";"Varre-Sai";15
"2015";"Vassouras";774
"2015";"Volta Redonda";4455
"2016";"Angra dos Reis";1409
"2016";"Aperibé";43
"2016";"Araruama";1043
"2016";"Areal";791
"2016";"Armação dos Búzios";15
"2016";"Arraial do Cabo";1175
"2016";"Barra do Piraí";1667
"2016";"Barra Mansa";398
"2016";"Belford Roxo";246
"2016";"Bom Jardim";275
"2016";"Bom Jesus do Itabapoana";1898
"2016";"Cabo Frio";197
"2016";"Cachoeiras de Macacu";438
"2016";"Cambuci";18
"2016";"Campos dos Goytacazes";3431
"2016";"Cantagalo";1811
"2016";"Carapebus";202
"2016";"Cardoso Moreira";374
"2016";"Carmo";736
"2016";"Casimiro de Abreu";298
"2016";"Comendador Levy Gasparian";12
"2016";"Conceição de Macabu";420
"2016";"Cordeiro";2074
"2016";"Duas Barras";58
"2016";"Duque de Caxias";2092
"2016";"Engenheiro Paulo de Frontin";167
"2016";"Guapimirim";293
"2016";"Iguaba Grande";178
"2016";"Itaboraí";582
"2016";"Itaguaí";269
"2016";"Italva";402
"2016";"Itaocara";89
"2016";"Itaperuna";4260
"2016";"Itatiaia";492
"2016";"Japeri";47
"2016";"Laje do Muriaé";63
"2016";"Macaé";1764
"2016";"Macuco";213
"2016";"Magé";459
"2016";"Mangaratiba";251
"2016";"Maricá";15
"2016";"Mendes";176
"2016";"Mesquita";452
"2016";"Miguel Pereira";122
"2016";"Miracema";176
"2016";"Natividade";1339
"2016";"Nilópolis";462
"2016";"Niterói";3941
"2016";"Nova Friburgo";11402
"2016";"Nova Iguaçu";2713
"2016";"Paracambi";33
"2016";"Paraíba do Sul";616
"2016";"Paraty";214
"2016";"Paty do Alferes";411
"2016";"Petrópolis";857
"2016";"Pinheiral";141
"2016";"Piraí";873
"2016";"Porciúncula";473
"2016";"Porto Real";167
"2016";"Quatis";56
"2016";"Queimados";48
"2016";"Quissamã";28
"2016";"Resende";2404
"2016";"Rio Bonito";28
"2016";"Rio Claro";88
"2016";"Rio das Flores";6
"2016";"Rio das Ostras";460
"2016";"Rio de Janeiro";32618
"2016";"Santa Maria Madalena";76
"2016";"Santo Antônio de Pádua";656
"2016";"São Fidélis";197
"2016";"São Francisco de Itabapoana";11
"2016";"São Gonçalo";9690
"2016";"São João da Barra";16
"2016";"São João de Meriti";461
"2016";"São José de Ubá";257
"2016";"São José do Vale do Rio Preto";135
"2016";"São Pedro da Aldeia";933
"2016";"São Sebastião do Alto";196
"2016";"Sapucaia";438
"2016";"Saquarema";2591
"2016";"Seropédica";225
"2016";"Silva Jardim";64
"2016";"Sumidouro";212
"2016";"Tanguá";94
"2016";"Teresópolis";721
"2016";"Trajano de Moraes";33
"2016";"Três Rios";468
"2016";"Valença";1486
"2016";"Varre-Sai";294
"2016";"Vassouras";584
"2016";"Volta Redonda";4124
"2017";"Angra dos Reis";441
"2017";"Aperibé";1
"2017";"Araruama";38
"2017";"Areal";93
"2017";"Arraial do Cabo";24
"2017";"Barra do Piraí";133
"2017";"Barra Mansa";2
"2017";"Belford Roxo";3
"2017";"Bom Jardim";1
"2017";"Bom Jesus do Itabapoana";62
"2017";"Cabo Frio";250
"2017";"Cachoeiras de Macacu";1
"2017";"Campos dos Goytacazes";1733
"2017";"Cantagalo";5
"2017";"Carapebus";34
"2017";"Cardoso Moreira";9
"2017";"Carmo";1
"2017";"Casimiro de Abreu";127
"2017";"Conceição de Macabu";46
"2017";"Cordeiro";37
"2017";"Duque de Caxias";497
"2017";"Engenheiro Paulo de Frontin";2
"2017";"Guapimirim";54
"2017";"Iguaba Grande";30
"2017";"Itaboraí";820
"2017";"Itaguaí";26
"2017";"Italva";21
"2017";"Itaocara";5
"2017";"Itaperuna";225
"2017";"Itatiaia";39
"2017";"Japeri";7
"2017";"Macaé";161
"2017";"Macuco";45
"2017";"Magé";69
"2017";"Mangaratiba";8
"2017";"Maricá";315
"2017";"Mendes";6
"2017";"Mesquita";5
"2017";"Miguel Pereira";14
"2017";"Miracema";3
"2017";"Natividade";28
"2017";"Nilópolis";4
"2017";"Niterói";1097
"2017";"Nova Friburgo";702
"2017";"Nova Iguaçu";134
"2017";"Paracambi";4
"2017";"Paraíba do Sul";2
"2017";"Paraty";20
"2017";"Paty do Alferes";4
"2017";"Petrópolis";73
"2017";"Pinheiral";5
"2017";"Piraí";165
"2017";"Porciúncula";40
"2017";"Porto Real";10
"2017";"Quatis";10
"2017";"Queimados";21
"2017";"Quissamã";18
"2017";"Resende";412
"2017";"Rio Bonito";9
"2017";"Rio Claro";4
"2017";"Rio das Flores";16
"2017";"Rio das Ostras";170
"2017";"Rio de Janeiro";4516
"2017";"Santo Antônio de Pádua";42
"2017";"São Fidélis";6
"2017";"São Gonçalo";2321
"2017";"São João de Meriti";49
"2017";"São José de Ubá";3
"2017";"São José do Vale do Rio Preto";8
"2017";"São Pedro da Aldeia";19
"2017";"Sapucaia";21
"2017";"Saquarema";919
"2017";"Seropédica";91
"2017";"Silva Jardim";4
"2017";"Tanguá";35
"2017";"Teresópolis";9
"2017";"Trajano de Moraes";3
"2017";"Três Rios";8
"2017";"Valença";60
"2017";"Varre-Sai";2
"2017";"Vassouras";80
"2017";"Volta Redonda";355
"2018";"Angra dos Reis";190
"2018";"Aperibé";24
"2018";"Araruama";129
"2018";"Areal";11
"2018";"Armação dos Búzios";7
"2018";"Arraial do Cabo";40
"2018";"Barra do Piraí";135
"2018";"Barra Mansa";9
"2018";"Belford Roxo";282
"2018";"Bom Jardim";1
"2018";"Bom Jesus do Itabapoana";34
"2018";"Cabo Frio";164
"2018";"Cachoeiras de Macacu";28
"2018";"Cambuci";6
"2018";"Campos dos Goytacazes";1251
"2018";"Cantagalo";8
"2018";"Carapebus";3
"2018";"Cardoso Moreira";27
"2018";"Carmo";5
"2018";"Casimiro de Abreu";28
"2018";"Conceição de Macabu";9
"2018";"Cordeiro";33
"2018";"Duas Barras";1
"2018";"Duque de Caxias";432
"2018";"Engenheiro Paulo de Frontin";6
"2018";"Guapimirim";53
"2018";"Iguaba Grande";114
"2018";"Itaboraí";3464
"2018";"Itaguaí";42
"2018";"Italva";46
"2018";"Itaocara";121
"2018";"Itaperuna";326
"2018";"Itatiaia";21
"2018";"Japeri";5
"2018";"Macaé";91
"2018";"Macuco";5
"2018";"Magé";201
"2018";"Mangaratiba";20
"2018";"Maricá";867
"2018";"Mendes";2
"2018";"Mesquita";14
"2018";"Miguel Pereira";6
"2018";"Miracema";14
"2018";"Natividade";32
"2018";"Nilópolis";10
"2018";"Niterói";2120
"2018";"Nova Friburgo";603
"2018";"Nova Iguaçu";474
"2018";"Paracambi";13
"2018";"Paraíba do Sul";7
"2018";"Paraty";29
"2018";"Paty do Alferes";3
"2018";"Petrópolis";35
"2018";"Pinheiral";12
"2018";"Piraí";197
"2018";"Porciúncula";48
"2018";"Porto Real";5
"2018";"Quatis";3
"2018";"Queimados";56
"2018";"Quissamã";24
"2018";"Resende";237
"2018";"Rio Bonito";31
"2018";"Rio Claro";9
"2018";"Rio das Flores";8
"2018";"Rio das Ostras";314
"2018";"Rio de Janeiro";7390
"2018";"Santo Antônio de Pádua";142
"2018";"São Fidélis";96
"2018";"São Francisco de Itabapoana";54
"2018";"São Gonçalo";2854
"2018";"São João da Barra";36
"2018";"São João de Meriti";136
"2018";"São José de Ubá";5
"2018";"São José do Vale do Rio Preto";4
"2018";"São Pedro da Aldeia";81
"2018";"São Sebastião do Alto";1
"2018";"Sapucaia";30
"2018";"Saquarema";660
"2018";"Seropédica";108
"2018";"Silva Jardim";1
"2018";"Tanguá";84
"2018";"Teresópolis";27
"2018";"Três Rios";61
"2018";"Valença";287
"2018";"Vassouras";58
"2018";"Volta Redonda";339
"2019";"Angra dos Reis";1779
"2019";"Aperibé";15
"2019";"Araruama";324
"2019";"Armação dos Búzios";137
"2019";"Arraial do Cabo";47
"2019";"Barra do Piraí";416
"2019";"Barra Mansa";396
"2019";"Belford Roxo";685
"2019";"Bom Jardim";43
"2019";"Bom Jesus do Itabapoana";345
"2019";"Cabo Frio";770
"2019";"Cachoeiras de Macacu";2
"2019";"Cambuci";6
"2019";"Campos dos Goytacazes";170
"2019";"Cantagalo";9
"2019";"Carapebus";35
"2019";"Cardoso Moreira";61
"2019";"Carmo";14
"2019";"Casimiro de Abreu";76
"2019";"Comendador Levy Gasparian";1
"2019";"Conceição de Macabu";124
"2019";"Cordeiro";16
"2019";"Duas Barras";4
"2019";"Duque de Caxias";956
"2019";"Engenheiro Paulo de Frontin";36
"2019";"Guapimirim";12
"2019";"Iguaba Grande";282
"2019";"Itaboraí";1037
"2019";"Itaguaí";156
"2019";"Italva";43
"2019";"Itaocara";19
"2019";"Itaperuna";245
"2019";"Itatiaia";127
"2019";"Japeri";626
"2019";"Laje do Muriaé";5
"2019";"Macaé";230
"2019";"Magé";165
"2019";"Mangaratiba";353
"2019";"Maricá";630
"2019";"Mendes";47
"2019";"Mesquita";100
"2019";"Miguel Pereira";41
"2019";"Miracema";738
"2019";"Natividade";236
"2019";"Nilópolis";17
"2019";"Niterói";430
"2019";"Nova Friburgo";604
"2019";"Nova Iguaçu";1210
"2019";"Paracambi";25
"2019";"Paraíba do Sul";156
"2019";"Paraty";1550
"2019";"Paty do Alferes";137
"2019";"Petrópolis";277
"2019";"Pinheiral";203
"2019";"Piraí";347
"2019";"Porciúncula";627
"2019";"Porto Real";46
"2019";"Quatis";104
"2019";"Queimados";34
"2019";"Quissamã";53
"2019";"Resende";1102
"2019";"Rio Bonito";50
"2019";"Rio Claro";13
"2019";"Rio das Flores";36
"2019";"Rio das Ostras";604
"2019";"Rio de Janeiro";22480
"2019";"Santo Antônio de Pádua";53
"2019";"São Fidélis";10
"2019";"São Francisco de Itabapoana";855
"2019";"São Gonçalo";1283
"2019";"São João da Barra";40
"2019";"São João de Meriti";971
"2019";"São José de Ubá";35
"2019";"São José do Vale do Rio Preto";5
"2019";"São Pedro da Aldeia";259
"2019";"São Sebastião do Alto";5
"2019";"Sapucaia";106
"2019";"Saquarema";397
"2019";"Seropédica";137
"2019";"Silva Jardim";14
"2019";"Tanguá";18
"2019";"Teresópolis";28
"2019";"Trajano de Moraes";3
"2019";"Três Rios";371
"2019";"Valença";192
"2019";"Varre-Sai";29
"2019";"Vassouras";364
"2019";"Volta Redonda";3857
"2015";"Estado Rio de Janeiro";92915
"2016";"Estado Rio de Janeiro";114931
"2017";"Estado Rio de Janeiro";16892
"2018";"Estado Rio de Janeiro";24999
"2019";"Estado Rio de Janeiro";50696
